PartNo.,PartName,Part Type,Material,Thick.,Pipe Size,Length,Width,Weight(Kg)
203,SKIRT BARREL - B1,Plate,SA-36,16,,9538,2395,2839
204,SKIRT BARREL - B2,Plate,SA-36,16,,9538,1550,1837
,,,,Total,19076.01,3945,4676
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
205,GUSSET PLATE,Plate,SA-36,24,,152,430,137
,,,,Total,6098.8,17200,5480
201,BASE RING,Plate,SA-36,55,,0,0,1112
202,TOP RING,Plate,SA-36,55,,3400,3400,1021
,,,,Total,3400.06,3400,2133
316,M2_MANHOLE - PAD,Plate,SA-516 70N,24,,1100,1100,124
319,N1_FEED INLET - PAD,Plate,SA-516 70N,24,,300,300,10
,,,,Total,1400,1400,134
105,SHELL-4,Plate,SA-516 70N,28.24,,6372,2450,3461
106,SHELL-5,Plate,SA-516 70N,28.24,,6372,1375,1942
105,SHELL-6,Plate,SA-516 70N,28.24,,6372,2450,3461
106,SHELL-7,Plate,SA-516 70N,28.24,,6372,1375,1942
105,SHELL-8,Plate,SA-516 70N,28.24,,6372,2450,3461
107,TOP DISH,Plate,SA-516 70N,28.24,,2467,2467,1059
,,,,Total,34326.27,12567,15326
321,N3_GAS OUTLET - PAD,Plate,SA-516 70N,30,,300,300,12
324,N6_VENT - PAD,Plate,SA-516 70N,30,,220,220,7
,,,,Total,520,520,19
314,N2_GAS INLET - PAD,Plate,SA-516 70N,32,,300,300,13
317,M1_MANHOLE - PAD,Plate,SA-516 70N,32,,900,900,87
,,,,Total,1200,1200,100
101,BTM DISH,Plate,SA-516 70N,37.65,,3635,3635,3067
102,SHELL-1,Plate,SA-516 70N,37.65,,9543,1285,3624
103,SHELL-2,Plate,SA-516 70N,37.65,,9543,2450,6910
102,SHELL-3,Plate,SA-516 70N,37.65,,9543,1285,3624
,,,,Total,32263.88,8655,17225
305,N4_BOTTOM PRODUCT - PAD,Plate,SA-516 70N,40,,550,550,49
311,M3_MANHOLE - PAD,Plate,SA-516 70N,40,,1100,1100,207
,,,,Total,1650,1650,256
104,CONE,Plate,SA-516 70N,42.35,,6803,3958,2566
,,,,Total,6802.9,3958,2566


